epoch	precision	recall	f1
1	0.5848	0.2610	0.3609
2	0.6857	0.2869	0.4045
3	0.7380	0.5837	0.6518
4	0.7556	0.5418	0.6311
5	0.7613	0.6355	0.6927
6	0.7900	0.6295	0.7007
7	0.7588	0.6454	0.6975
8	0.7326	0.6713	0.7006
9	0.7547	0.6375	0.6911
10	0.7569	0.6574	0.7036
11	0.7561	0.6793	0.7156
12	0.7652	0.6753	0.7175
13	0.7575	0.6534	0.7016
14	0.7669	0.6096	0.6792
15	0.7455	0.6653	0.7032
16	0.7438	0.6594	0.6990
17	0.7677	0.6713	0.7163
18	0.7651	0.7072	0.7350
19	0.7449	0.7271	0.7359
20	0.7715	0.6793	0.7225
21	0.7538	0.6892	0.7201
22	0.7585	0.7131	0.7351
23	0.7543	0.6912	0.7214
24	0.7542	0.7092	0.7310
25	0.7706	0.6892	0.7277
26	0.7623	0.7092	0.7348
27	0.7563	0.7171	0.7362
28	0.7768	0.6932	0.7326
29	0.7864	0.6892	0.7346
30	0.7848	0.6972	0.7384
