	precision	recall	f1	accuracy	support
POSITIVE	0.3358	0.5488	0.4167	0.2632	171.0
NEUTRAL	0.2857	0.2222	0.25	0.1429	14.0
NEGATIVE	0.7742	0.6154	0.6857	0.5217	46.0
Micro-AVG	0.4593	0.6077	0.5232	0.3543	223.0
Macro-AVG	0.4652	0.4621	0.4508		223
