	precision	recall	f1	accuracy	support
POSITIVE	0.7746	0.6707	0.719	0.5612	98.0
NEUTRAL	0.6	0.3333	0.4286	0.2727	11.0
NEGATIVE	0.7742	0.6154	0.6857	0.5217	46.0
Micro-AVG	0.7664	0.6308	0.692	0.529	155.0
Macro-AVG	0.7163	0.5398	0.6111		155
